strate;PRIX_M2_Q50
1;2722.390122260379
2;2288.164264772991
3;2179.072595560442
4;3170.6895613709066
5;4107.871807721116
6;1495.8058326388564
7;1884.3089964598348
8;1393.1806904573002
9;1175.5594868872904
10;2421.2393398504064
11;2101.6264521474495
12;2133.0761672936533
13;1928.1499709811505
14;5077.35831168831
15;4179.361518677435
16;4441.186550189409
17;4150.484683257918
18;3795.2465450725754
19;4819.3923553719005
20;4976.477922183793
21;1848.789196187813
22;1433.4844908488565
23;1658.8607178857835
24;1378.3295699560967
25;1476.2035221008687
26;1386.0370497038482
27;1842.9007535022652
28;1681.1565575265986
29;2424.2397876717478
30;2513.6720118304993
31;3748.01901669671
32;3687.9352245028253
33;2867.3685255585815
34;2101.386066689015
35;2562.401600094261
36;1495.339964074124
37;1790.4184135646356
38;3513.996537389664
39;1269.1333192515017
40;1550.185416329461
41;1340.0721543072764
42;1194.7530072020907
43;2370.014771315233
44;1929.034337573585
45;1158.846545601812
46;1357.238217747804
47;1987.128424369748
48;1528.4461076923074
49;3362.751401967097
50;4386.214140550806
51;3616.095096991806
52;5083.530545644235
53;2858.9768342151674
54;3859.367385857154
55;2801.1493921917454
56;3776.3568421052632
57;2833.0995714285714
58;2742.477597039151
59;2809.0111966106897
60;4431.351379401154
61;1113.378057462497
62;1651.1774555299378
63;1849.6670287866345
64;2875.8076489594223
65;3167.3575381309265
66;3171.477994721196
67;4202.836887541806
68;2374.6445454545456
69;2400.4515524104377
70;1329.1387028566953
71;1183.274212811317
72;1617.9818160793843
73;2150.3322995951416
74;2270.642045454545
75;2584.9752870003376
76;1973.353272507851
77;3576.32658173963
78;2227.1294845722305
79;1766.1434685081788
80;2859.368439459651
81;2210.3998834780364
82;1911.2932615726252
83;3906.470571428572
84;1715.3904641671502
85;3918.1682565284177
86;5302.172708501323
87;5191.072794325297
88;3169.1457963767307
89;2858.250906806574
90;4927.400531135531
91;4462.830767294142
92;4621.647606370008
93;12222.898655168898
94;1885.9122693820368
95;1984.39409375
96;2711.479972451791
97;3211.997287945961
98;3081.0891976564944
99;3978.895202554536
100;3363.8834326423635
101;3504.2986844747393
102;3445.905562605334
103;2800.0559360037046
104;3630.132779825262
105;3342.611101494983
106;3508.949022412447
107;3165.2096113793227
108;2952.948014868538
109;3371.2741094106273
110;3410.5545115667246
111;3720.5446876593924
112;3855.7897059530783
113;6609.055898714778
114;5100.389359559767
115;2556.4824817449025
116;6290.346168363161
117;5737.995442395462
118;4000.19872586979
119;9142.860227807172
120;6542.050883876051
121;5893.584411258504
122;7505.9902722426605
123;6357.497494122716
124;4611.344894878726
125;8204.439780440174
126;10109.631647058824
127;3637.8994532500383
128;2464.448573248823
129;1931.894387819127
130;3143.0875444153826
131;1267.8921665676007
132;1272.4726193772226
133;1199.3830889557742
134;1481.1763074062244
135;1089.634067221352
136;1228.0972626526009
137;2861.349824344237
138;2478.6115674997372
139;2805.7796313801277
140;4987.978941114318
141;6193.065623206611
142;3953.630596461077
143;2262.2155276683043
144;2000.5551680324343
145;1800.1548997862087
146;1877.7414308195293
147;1339.277921384527
148;1487.153825751861
149;1154.8698037490271
150;1401.7928990489204
151;1846.449777369455
152;1541.1051776194317
153;1210.5667254612072
154;1149.9697704241446
155;1784.4088255453132
156;2373.4455367496876
157;2064.9114534830915
158;1867.1550075686635
159;2726.4608679229204
160;1584.233459957826
161;1455.4873863949977
162;1387.0477335757805
163;3763.999694301683
164;3385.241660290434
165;2937.332146700961
166;2429.2835998425285
167;2742.6716587060614
168;3902.3208480766943
169;3552.555039500545
170;1907.4674099887218
171;1620.4344805900678
172;1655.6525635463
173;1351.7191969272747
174;1426.6558593382968
175;1833.5112298281474
176;2144.7804142821547
177;1643.4001634389429
178;1420.5212037056701
179;1625.3410612182643
180;2604.790847823874
181;3223.7271225400273
182;1039.8002979172386
183;1235.6152343904496
184;1069.1643143331012
185;1373.8768279901356
186;1545.5197799400462
187;1401.8703667406155
188;1300.3225551989299
189;2391.8447497411275
190;1493.6625279342143
191;1646.0959065496122
192;1890.6029192464243
193;1890.4179450061306
194;2050.7540263
195;1625.696806114953
196;1798.5382825862343
197;1375.5773113777384
198;1436.3508924439366
199;1445.6141240670486
200;1652.6466333535468
201;1572.5845796818526
202;1746.6638686911915
205;1799.9272055007864
206;1803.0698713544268
207;1733.8498277517774
208;1677.1760402518182
209;1596.6854094629505
210;1525.6215149005807
211;1740.0282418592406
212;1980.9991682534064
213;2753.436113779122
214;2883.8526373626373
215;1923.4437720451474
216;3530.640339674551
217;5132.114349851969
218;2349.8819214380346
219;3019.6140641132447
220;4548.4126921596935
221;3329.3082043206477
222;3227.849656706843
223;2684.2978076413397
224;2122.728205691933
225;2842.7718461234563
226;2676.3316836018685
227;1339.1420301093667
228;1239.047573832041
229;1622.1388171627914
230;2463.0897020330053
231;2495.3083712667512
232;2204.0428565882085
233;2960.373884990155
234;1943.1356484408652
235;2164.7185524168926
236;1408.324416684927
237;1464.648731908308
238;1849.0090355932628
239;2194.584091506025
240;2895.8562907121304
241;2603.8164665589675
242;3617.5059504132223
243;1511.9052462510945
244;1746.707045999095
245;1642.4417581020916
246;2217.7221283964805
247;1459.5971392914862
248;1324.6213013892711
249;1614.625924387517
250;1734.058283552904
251;2174.3423860101507
252;1592.5896748517173
253;1381.7402691754996
254;1454.8214103147197
255;1970.557483852421
256;1898.9232554115902
257;1015.1815565552478
258;1111.9683619027478
259;1008.1998059982695
260;1181.9320288735287
261;1261.1786735941123
262;1836.6367583937413
263;1417.1161813587646
264;1535.3828700205954
265;1520.2825201271326
266;2260.2278574079555
267;1442.598626530128
268;1234.2805803872907
269;1099.0728846909108
270;1445.4866197123
271;1728.0029143318852
272;2276.564
273;1467.7302156862745
274;1907.9918518524744
275;2162.4001315494556
276;1985.3018529081214
277;1978.821864884502
278;1546.5364148084318
279;1615.9351830009591
280;1484.7956858542193
281;1455.5787825156258
282;2155.835119956925
283;2328.7865144999355
284;2209.39967703976
285;2266.6209554292645
286;1881.8517112299469
287;3065.5195157178523
288;3162.2693701180333
289;3369.9482622654414
290;6383.651798132513
291;1742.5934230354017
292;1859.1430694788755
293;2159.0273393163275
294;1725.7748508281124
295;1926.4147619047617
296;2525.7425974941525
297;2097.608189662883
298;2556.742823348409
299;3043.8249650023413
300;3013.757853680864
301;2906.931545648995
302;3243.1993868768905
303;3053.467582113698
304;4651.083431629524
305;3598.559644264011
306;3618.8188717986227
307;2853.741896441923
308;3568.178238448114
309;2984.242538018754
310;2929.9225238625218
311;4569.442041676752
312;6849.1663776869955
313;3278.433298709945
314;3998.3554012240365
315;1176.3786069466219
316;1351.5446229970046
317;1479.8322783773206
318;1491.3703702975276
319;1511.3102836523685
320;1574.7440753267115
321;2019.498421052632
322;1652.4458163309089
323;1751.7683657020398
324;4753.8263693581075
325;3116.3219445786403
326;3184.8314576409357
